"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"22","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"24","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"26","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"28","2","The variable 'JSON' is assigned but never used.","$JSON","PSUseDeclaredVarsMoreThanAssignments","Warning","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1","JSON",,"False"
"16","17","'New-HypervVm' has the ShouldProcess attribute but does not call ShouldProcess/ShouldContinue.","SupportsShouldProcess","PSShouldProcess","Warning","Checkpoint-VM.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.ps1",,,"False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"22","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Checkpoint-VM.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Public\Checkpoint-VM.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
